Package Name,Package Version,Code Coverage,CVE Analysis Safety,Static Code Analysis Status,Dynamic Program Analysis Status
bison,3.8.2,2,92,65,55
bison-dev,3.8.2,45,8,17,69
blktrace,1.3.0+git0+366d30b9cd,7,17,84,80
blktrace-dev,1.3.0+git0+366d30b9cd,46,3,19,65
bluez-firmware-rpidistro-bcm4345c0-hcd,1.2+4+rpt8,53,83,80,74
bluez-firmware-rpidistro-bcm4345c5-hcd,1.2+4+rpt8,26,21,50,88
bluez-firmware-rpidistro-cypress-license,1.2+4+rpt8,75,33,22,61
bluez5,5.65,56,25,32,53
bluez5-dev,5.65,19,39,88,36
bluez5-obex,5.65,69,91,5,92
bluez5-ptest,5.65,41,13,35,58
boost,1.78.0,2,98,95,93
boost-dev,1.78.0,67,21,40,83
boost-log,1.78.0,29,38,15,18
boost-math,1.78.0,8,46,0,42
boost-serialization,1.78.0,29,18,74,28
boost-test,1.78.0,44,38,83,81
bsdtar,3.6.2,14,59,100,4
btrfs-tools,5.16.2,88,63,91,54
btrfs-tools-dev,5.16.2,60,34,65,75
busybox,1.35.0,35,64,11,74
busybox-dev,1.35.0,91,10,49,97
busybox-ptest,1.35.0,16,81,62,20
busybox-udhcpc,1.35.0,72,79,59,9
bzip2,1.0.8,67,9,87,63
bzip2-dev,1.0.8,63,70,34,86
bzip2-ptest,1.0.8,5,48,49,47
ca-certificates,20211016,60,82,31,28
ca-certificates-dev,20211016,51,72,36,34
camera-gstreamer,1.0+git5+97faa830c6,0,27,73,77
camera-gstreamer-dev,1.0+git5+97faa830c6,1,77,77,2
can-dev-helper,1.0,19,1,50,34
can-dev-helper-dev,1.0,33,27,1,93
can-utils,2021.08.0,55,30,94,75
can-utils-dev,2021.08.0,15,69,84,37
cannelloni,1.0.0+git0+071d2d0a2b,76,8,69,49
cannelloni-dev,1.0.0+git0+071d2d0a2b,81,58,1,95
cantarell-fonts,0.303.1,31,2,95,83
cantarell-fonts-dev,0.303.1,40,41,99,55
checkpolicy,3.3,54,87,92,69
checkpolicy-dev,3.3,0,86,13,94
connman,1.41,77,58,91,99
connman-client,1.41,100,10,70,29
connman-conf,1.0,31,90,15,8
connman-conf-dev,1.0,82,53,61,90
connman-dev,1.41,17,35,7,78
connman-ncurses,git,18,52,18,51
connman-ncurses-dev,git,48,96,83,48
connman-tests,1.41,82,26,3,21
connman-tools,1.41,76,26,59,39
connman-wait-online,1.41,63,90,0,16
coreutils,9.0,84,63,8,72
coreutils-dev,9.0,80,23,13,72
coreutils-ptest,9.0,72,37,63,67
coreutils-stdbuf,9.0,98,66,78,53
cpp,11.4.0,31,83,31,23
cracklib,2.9.8,41,89,85,23
cracklib-dev,2.9.8,13,69,79,9
create-combined-dtb,1.0.0,36,47,29,3
create-combined-dtb-dev,1.0.0,64,50,35,44
cryptsetup,2.4.3,82,79,91,65
cryptsetup-dev,2.4.3,78,11,77,96
curl,7.82.0,51,85,29,75
curl-dev,7.82.0,15,41,48,20
dashboard,2.0+git0+0cfd9c9473,66,65,44,19
dashboard-dev,2.0+git0+0cfd9c9473,10,8,65,35
dbus-1,1.14.8,82,21,76,79
dbus-common,1.14.8,35,95,41,10
dbus-dev,1.14.8,80,57,68,74
dbus-ptest,1.14.8,58,87,38,63
dbus-tools,1.14.8,57,17,77,53
desktop-file-utils,0.26,60,83,27,100
desktop-file-utils-dev,0.26,79,91,96,17
diffutils,3.10,77,50,32,70
diffutils-dev,3.10,8,76,44,25
diffutils-ptest,3.10,91,9,40,82
dnf,4.11.1,51,100,3,2
dnf-dev,4.11.1,23,64,18,24
dosfstools,4.2,77,55,51,10
dosfstools-dev,4.2,29,78,14,27
e2fsprogs,1.46.5,45,30,94,16
e2fsprogs-badblocks,1.46.5,68,47,25,100
e2fsprogs-dev,1.46.5,11,36,47,64
e2fsprogs-dumpe2fs,1.46.5,39,84,53,81
e2fsprogs-e2fsck,1.46.5,0,76,33,97
e2fsprogs-mke2fs,1.46.5,89,29,45,10
e2fsprogs-ptest,1.46.5,40,57,18,33
e2fsprogs-resize2fs,1.46.5,91,97,36,79
e2fsprogs-tune2fs,1.46.5,15,6,60,99
elfutils,0.186,43,57,94,22
elfutils-binutils,0.186,76,86,45,30
elfutils-dev,0.186,20,18,27,67
elfutils-ptest,0.186,8,14,39,10
file,5.41,82,12,19,26
file-dev,5.41,20,82,65,14
findutils,4.9.0,56,20,26,65
findutils-dev,4.9.0,51,44,8,19
findutils-ptest,4.9.0,86,24,26,15
flac,1.3.4,28,48,67,66
flac-dev,1.3.4,33,85,12,94
flex,2.6.4,52,95,20,18
flex-dev,2.6.4,25,36,35,82
flex-ptest,2.6.4,81,82,0,41
flite,1.06,63,89,30,74
flite-dev,1.06,81,49,3,82
flite-voicedata,1.05,4,45,60,95
flite-voicedata-dev,1.05,60,25,63,66
fontconfig-utils,2.13.1,66,41,81,44
fuser,23.4,38,65,89,54
gawk,5.1.1,53,1,88,86
gawk-dev,5.1.1,56,73,3,98
gawk-ptest,5.1.1,20,58,24,2
gcc,11.4.0,77,57,37,34
gcc-dev,11.4.0,95,87,70,14
gcc-plugins,11.4.0,19,49,94,51
gcc-symlinks,11.4.0,18,66,65,54
gdb,11.2,23,24,79,19
gdb-dev,11.2,3,62,6,23
gdbserver,11.2,40,52,86,21
geoclue,2.5.7,8,76,40,26
geoclue-dev,2.5.7,69,80,71,82
gettext,0.21,53,4,25,67
gettext-dev,0.21,23,29,79,50
gettext-ptest,0.21,12,48,14,73
glib-networking,2.72.2,45,59,100,39
glib-networking-dev,2.72.2,16,21,99,32
glib-networking-ptest,2.72.2,21,38,70,72
glibc-charmap-big5,2.35,33,46,14,60
glibc-charmap-cp1251,2.35,89,11,88,32
glibc-charmap-cp1255,2.35,20,63,79,95
glibc-charmap-euc-jp,2.35,47,11,88,29
glibc-charmap-euc-kr,2.35,33,28,100,38
glibc-charmap-invariant,2.35,10,33,17,7
glibc-charmap-iso-8859-1,2.35,21,86,62,54
glibc-charmap-iso-8859-2,2.35,52,94,61,54
glibc-charmap-iso-8859-9,2.35,66,80,21,13
glibc-charmap-koi8-r,2.35,20,12,89,34
glibc-charmap-utf-8,2.35,93,28,23,98
glibc-gconv,2.35,50,78,11,82
glibc-gconv-big5,2.35,14,86,55,85
glibc-gconv-big5hkscs,2.35,54,57,91,48
glibc-gconv-cp1251,2.35,2,30,21,42
glibc-gconv-cp1255,2.35,34,21,96,98
glibc-gconv-ebcdic-us,2.35,42,88,91,54
glibc-gconv-euc-jp,2.35,48,89,70,96
glibc-gconv-euc-kr,2.35,75,42,3,84
glibc-gconv-ibm1141,2.35,80,89,79,29
glibc-gconv-iso8859-1,2.35,16,37,60,88
glibc-gconv-iso8859-15,2.35,47,72,85,78
glibc-gconv-iso8859-2,2.35,48,30,37,1
glibc-gconv-iso8859-5,2.35,49,30,13,28
glibc-gconv-iso8859-9,2.35,34,27,44,4
glibc-gconv-koi8-r,2.35,93,26,70,43
glibc-gconv-libjis,2.35,21,4,72,1
glibc-gconv-libksc,2.35,78,54,88,99
glibc-gconv-utf-16,2.35,50,20,50,27
glibc-gconv-utf-32,2.35,95,69,59,24
glibc-gconv-utf-7,2.35,35,33,66,81
glibc-localedata-translit-cjk-variants,2.35,40,23,43,57
glibc-mtrace,2.35,22,67,26,82
glibc-mtrace-dev,2.35,8,92,60,45
gnome-desktop-testing,2021.1,39,38,59,51
gnome-desktop-testing-dev,2021.1,38,3,54,92
gnupg,2.3.7,15,27,1,83
gnupg-dev,2.3.7,72,89,28,40
gnupg-gpg,2.3.7,48,53,24,62
gobject-introspection,1.72.0,92,60,7,5
gobject-introspection-dev,1.72.0,13,31,40,25
googletest,1.11.0+git0+9e71237221,40,99,66,40
googletest-dev,1.11.0+git0+9e71237221,9,45,78,5
googletest-staticdev,1.11.0+git0+9e71237221,25,10,23,85
gpgme,1.17.1,69,30,91,47
gpgme-dev,1.17.1,20,35,82,16
gpsd,3.23.1,24,68,79,82
gpsd-conf,3.23.1,95,95,89,50
gpsd-dev,3.23.1,93,86,97,40
gpsd-gpsctl,3.23.1,12,26,79,34
gpsd-udev,3.23.1,69,8,44,39
grep,3.7,61,22,60,91
grep-dev,3.7,54,2,47,27
grpc,1.46.7,93,44,2,30
grpc-compiler,1.46.7,67,82,29,95
grpc-dev,1.46.7,71,10,47,18
gstreamer1.0,1.20.7,73,44,100,53
gstreamer1.0-dev,1.20.7,69,78,47,70
gstreamer1.0-pipewire,1.0.0,13,28,90,18
gstreamer1.0-plugins-bad,1.20.7,30,61,5,45
gstreamer1.0-plugins-bad-accurip,1.20.7,94,96,38,52
gstreamer1.0-plugins-bad-adpcmdec,1.20.7,48,10,3,0
gstreamer1.0-plugins-bad-adpcmenc,1.20.7,95,99,48,93
gstreamer1.0-plugins-bad-aes,1.20.7,36,30,26,73
gstreamer1.0-plugins-bad-aiff,1.20.7,13,53,74,84
gstreamer1.0-plugins-bad-apps,1.20.7,93,100,26,75
gstreamer1.0-plugins-bad-asfmux,1.20.7,17,32,41,92
gstreamer1.0-plugins-bad-audiobuffersplit,1.20.7,68,86,14,57
gstreamer1.0-plugins-bad-audiofxbad,1.20.7,38,27,96,37
gstreamer1.0-plugins-bad-audiolatency,1.20.7,24,52,29,10
gstreamer1.0-plugins-bad-audiomixmatrix,1.20.7,83,55,36,66
gstreamer1.0-plugins-bad-audiovisualizers,1.20.7,93,7,32,63
gstreamer1.0-plugins-bad-autoconvert,1.20.7,82,90,80,11
gstreamer1.0-plugins-bad-bayer,1.20.7,81,21,58,46
gstreamer1.0-plugins-bad-bluez,1.20.7,36,6,64,0
gstreamer1.0-plugins-bad-bz2,1.20.7,0,2,35,78
gstreamer1.0-plugins-bad-camerabin,1.20.7,24,51,97,59
gstreamer1.0-plugins-bad-closedcaption,1.20.7,28,94,23,25
gstreamer1.0-plugins-bad-codecalpha,1.20.7,100,30,54,75
gstreamer1.0-plugins-bad-coloreffects,1.20.7,93,66,68,28
gstreamer1.0-plugins-bad-curl,1.20.7,85,93,13,11
gstreamer1.0-plugins-bad-dash,1.20.7,3,83,65,100
gstreamer1.0-plugins-bad-debugutilsbad,1.20.7,49,23,36,13
gstreamer1.0-plugins-bad-decklink,1.20.7,81,79,95,74
gstreamer1.0-plugins-bad-dev,1.20.7,8,55,87,43
gstreamer1.0-plugins-bad-dtls,1.20.7,16,94,36,76
gstreamer1.0-plugins-bad-dvb,1.20.7,43,44,73,64
gstreamer1.0-plugins-bad-dvbsubenc,1.20.7,49,63,92,97
gstreamer1.0-plugins-bad-dvbsuboverlay,1.20.7,76,98,12,46
gstreamer1.0-plugins-bad-dvdspu,1.20.7,61,86,96,60
gstreamer1.0-plugins-bad-faceoverlay,1.20.7,60,23,36,30
gstreamer1.0-plugins-bad-fbdevsink,1.20.7,69,19,0,9
gstreamer1.0-plugins-bad-festival,1.20.7,2,96,89,41
gstreamer1.0-plugins-bad-fieldanalysis,1.20.7,12,87,49,100
gstreamer1.0-plugins-bad-freeverb,1.20.7,51,21,96,28
gstreamer1.0-plugins-bad-frei0r,1.20.7,90,12,55,84
gstreamer1.0-plugins-bad-gaudieffects,1.20.7,64,70,10,31
gstreamer1.0-plugins-bad-gdp,1.20.7,55,29,37,40
gstreamer1.0-plugins-bad-geometrictransform,1.20.7,71,52,0,71
gstreamer1.0-plugins-bad-hls,1.20.7,11,44,0,27
gstreamer1.0-plugins-bad-id3tag,1.20.7,100,69,23,17
gstreamer1.0-plugins-bad-inter,1.20.7,94,48,88,7
gstreamer1.0-plugins-bad-interlace,1.20.7,49,9,16,87
gstreamer1.0-plugins-bad-ipcpipeline,1.20.7,94,47,53,83
gstreamer1.0-plugins-bad-ivfparse,1.20.7,59,68,87,83
gstreamer1.0-plugins-bad-ivtc,1.20.7,7,22,78,45
gstreamer1.0-plugins-bad-jp2kdecimator,1.20.7,34,34,40,3
gstreamer1.0-plugins-bad-jpegformat,1.20.7,43,73,38,80
gstreamer1.0-plugins-bad-legacyrawparse,1.20.7,49,43,44,13
gstreamer1.0-plugins-bad-meta,1.20.7,10,67,55,40
gstreamer1.0-plugins-bad-midi,1.20.7,100,39,97,6
gstreamer1.0-plugins-bad-mpegpsdemux,1.20.7,18,29,10,5
gstreamer1.0-plugins-bad-mpegpsmux,1.20.7,31,26,34,9
gstreamer1.0-plugins-bad-mpegtsdemux,1.20.7,0,19,100,22
gstreamer1.0-plugins-bad-mpegtsmux,1.20.7,44,68,50,33
gstreamer1.0-plugins-bad-mxf,1.20.7,59,55,59,64
gstreamer1.0-plugins-bad-netsim,1.20.7,56,76,3,10
gstreamer1.0-plugins-bad-pcapparse,1.20.7,50,28,71,63
gstreamer1.0-plugins-bad-pnm,1.20.7,76,35,85,46
gstreamer1.0-plugins-bad-proxy,1.20.7,94,76,99,100
gstreamer1.0-plugins-bad-removesilence,1.20.7,56,11,75,26
gstreamer1.0-plugins-bad-rfbsrc,1.20.7,77,100,46,21
gstreamer1.0-plugins-bad-rist,1.20.7,31,65,37,91
gstreamer1.0-plugins-bad-rsvg,1.20.7,66,79,96,32
gstreamer1.0-plugins-bad-rtmp2,1.20.7,69,80,57,81
gstreamer1.0-plugins-bad-rtpmanagerbad,1.20.7,44,59,84,3
gstreamer1.0-plugins-bad-rtponvif,1.20.7,80,3,15,6
gstreamer1.0-plugins-bad-sbc,1.20.7,51,92,10,74
gstreamer1.0-plugins-bad-sdpelem,1.20.7,0,5,59,32
gstreamer1.0-plugins-bad-segmentclip,1.20.7,93,68,52,45
gstreamer1.0-plugins-bad-shm,1.20.7,59,15,79,91
gstreamer1.0-plugins-bad-siren,1.20.7,3,64,2,16
gstreamer1.0-plugins-bad-smooth,1.20.7,3,1,82,1
gstreamer1.0-plugins-bad-smoothstreaming,1.20.7,5,5,52,2
gstreamer1.0-plugins-bad-sndfile,1.20.7,58,63,96,7
gstreamer1.0-plugins-bad-speed,1.20.7,47,75,26,31
gstreamer1.0-plugins-bad-subenc,1.20.7,99,4,99,53
gstreamer1.0-plugins-bad-switchbin,1.20.7,49,80,24,40
gstreamer1.0-plugins-bad-timecode,1.20.7,14,61,94,89
gstreamer1.0-plugins-bad-transcode,1.20.7,46,28,94,31
gstreamer1.0-plugins-bad-ttmlsubs,1.20.7,49,90,78,10
gstreamer1.0-plugins-bad-uvch264,1.20.7,15,73,80,50
gstreamer1.0-plugins-bad-videofiltersbad,1.20.7,27,66,31,54
gstreamer1.0-plugins-bad-videoframe-audiolevel,1.20.7,46,63,33,59
gstreamer1.0-plugins-bad-videoparsersbad,1.20.7,11,5,35,70
gstreamer1.0-plugins-bad-videosignal,1.20.7,20,81,65,22
gstreamer1.0-plugins-bad-vmnc,1.20.7,6,59,63,50
gstreamer1.0-plugins-bad-waylandsink,1.20.7,33,41,9,75
gstreamer1.0-plugins-bad-webp,1.20.7,58,100,47,70
gstreamer1.0-plugins-bad-y4mdec,1.20.7,91,64,48,32
gstreamer1.0-plugins-base,1.20.7,10,8,19,63
gstreamer1.0-plugins-base-adder,1.20.7,27,9,5,64
gstreamer1.0-plugins-base-alsa,1.20.7,58,40,75,39
gstreamer1.0-plugins-base-app,1.20.7,77,3,13,15
gstreamer1.0-plugins-base-apps,1.20.7,43,10,78,86
gstreamer1.0-plugins-base-audioconvert,1.20.7,27,27,76,62
gstreamer1.0-plugins-base-audiomixer,1.20.7,15,28,40,71
gstreamer1.0-plugins-base-audiorate,1.20.7,80,15,54,83
gstreamer1.0-plugins-base-audioresample,1.20.7,79,68,22,93
gstreamer1.0-plugins-base-audiotestsrc,1.20.7,29,69,76,11
gstreamer1.0-plugins-base-compositor,1.20.7,27,91,6,73
gstreamer1.0-plugins-base-dev,1.20.7,67,29,42,100
gstreamer1.0-plugins-base-encoding,1.20.7,2,23,37,26
gstreamer1.0-plugins-base-gio,1.20.7,67,72,57,87
gstreamer1.0-plugins-base-meta,1.20.7,95,81,38,11
gstreamer1.0-plugins-base-ogg,1.20.7,18,18,58,93
gstreamer1.0-plugins-base-opengl,1.20.7,58,86,39,12
gstreamer1.0-plugins-base-overlaycomposition,1.20.7,95,18,49,35
gstreamer1.0-plugins-base-pango,1.20.7,35,70,96,80
gstreamer1.0-plugins-base-pbtypes,1.20.7,70,16,24,86
gstreamer1.0-plugins-base-playback,1.20.7,64,84,19,85
gstreamer1.0-plugins-base-rawparse,1.20.7,5,44,46,35
gstreamer1.0-plugins-base-subparse,1.20.7,74,20,76,16
gstreamer1.0-plugins-base-tcp,1.20.7,34,69,71,63
gstreamer1.0-plugins-base-theora,1.20.7,74,86,9,37
gstreamer1.0-plugins-base-typefindfunctions,1.20.7,90,50,49,97
gstreamer1.0-plugins-base-videoconvert,1.20.7,57,74,14,17
gstreamer1.0-plugins-base-videorate,1.20.7,6,77,69,77
gstreamer1.0-plugins-base-videoscale,1.20.7,93,2,17,9
gstreamer1.0-plugins-base-videotestsrc,1.20.7,46,36,70,24
gstreamer1.0-plugins-base-volume,1.20.7,69,51,100,70
gstreamer1.0-plugins-base-vorbis,1.20.7,84,55,61,92
gstreamer1.0-plugins-good,1.20.7,26,74,82,94
gstreamer1.0-plugins-good-alaw,1.20.7,94,47,44,99
gstreamer1.0-plugins-good-alpha,1.20.7,16,5,58,17
gstreamer1.0-plugins-good-alphacolor,1.20.7,100,1,48,82
gstreamer1.0-plugins-good-apetag,1.20.7,36,52,99,56
gstreamer1.0-plugins-good-audiofx,1.20.7,28,62,30,84
gstreamer1.0-plugins-good-audioparsers,1.20.7,22,80,81,100
gstreamer1.0-plugins-good-auparse,1.20.7,97,82,61,42
gstreamer1.0-plugins-good-autodetect,1.20.7,28,61,92,97
gstreamer1.0-plugins-good-avi,1.20.7,70,59,9,4
gstreamer1.0-plugins-good-cairo,1.20.7,90,3,7,32
gstreamer1.0-plugins-good-cutter,1.20.7,44,5,90,66
gstreamer1.0-plugins-good-debug,1.20.7,86,42,47,6
gstreamer1.0-plugins-good-deinterlace,1.20.7,86,30,61,66
gstreamer1.0-plugins-good-dev,1.20.7,18,15,13,78
gstreamer1.0-plugins-good-dtmf,1.20.7,62,96,46,37
gstreamer1.0-plugins-good-effectv,1.20.7,49,68,37,29
gstreamer1.0-plugins-good-equalizer,1.20.7,56,4,18,88
gstreamer1.0-plugins-good-flac,1.20.7,60,33,90,95
gstreamer1.0-plugins-good-flv,1.20.7,31,37,2,86
gstreamer1.0-plugins-good-flxdec,1.20.7,60,60,23,52
gstreamer1.0-plugins-good-gdkpixbuf,1.20.7,29,15,65,28
gstreamer1.0-plugins-good-goom,1.20.7,76,49,48,92
gstreamer1.0-plugins-good-goom2k1,1.20.7,88,26,58,60
gstreamer1.0-plugins-good-icydemux,1.20.7,77,61,53,34
gstreamer1.0-plugins-good-id3demux,1.20.7,13,61,61,60
gstreamer1.0-plugins-good-imagefreeze,1.20.7,36,95,59,36
gstreamer1.0-plugins-good-interleave,1.20.7,15,26,74,92
gstreamer1.0-plugins-good-isomp4,1.20.7,18,3,53,29
gstreamer1.0-plugins-good-jpeg,1.20.7,29,94,65,21
gstreamer1.0-plugins-good-lame,1.20.7,96,9,99,46
gstreamer1.0-plugins-good-level,1.20.7,24,98,97,63
gstreamer1.0-plugins-good-matroska,1.20.7,36,4,86,43
gstreamer1.0-plugins-good-meta,1.20.7,41,65,79,39
gstreamer1.0-plugins-good-monoscope,1.20.7,71,37,93,38
gstreamer1.0-plugins-good-mpg123,1.20.7,43,41,12,15
gstreamer1.0-plugins-good-mulaw,1.20.7,44,35,1,63
gstreamer1.0-plugins-good-multifile,1.20.7,48,12,29,19
gstreamer1.0-plugins-good-multipart,1.20.7,79,60,90,5
gstreamer1.0-plugins-good-navigationtest,1.20.7,2,14,98,36
gstreamer1.0-plugins-good-ossaudio,1.20.7,87,54,39,69
gstreamer1.0-plugins-good-png,1.20.7,95,11,0,78
gstreamer1.0-plugins-good-replaygain,1.20.7,63,57,93,94
gstreamer1.0-plugins-good-rtp,1.20.7,59,92,58,3
gstreamer1.0-plugins-good-rtpmanager,1.20.7,22,80,19,58
gstreamer1.0-plugins-good-rtsp,1.20.7,37,13,6,34
gstreamer1.0-plugins-good-shapewipe,1.20.7,82,92,31,64
gstreamer1.0-plugins-good-smpte,1.20.7,9,16,34,5
gstreamer1.0-plugins-good-soup,1.20.7,24,78,4,51
gstreamer1.0-plugins-good-spectrum,1.20.7,20,72,23,93
gstreamer1.0-plugins-good-speex,1.20.7,64,89,19,100
gstreamer1.0-plugins-good-taglib,1.20.7,64,65,17,6
gstreamer1.0-plugins-good-udp,1.20.7,1,41,53,48
gstreamer1.0-plugins-good-video4linux2,1.20.7,87,31,75,11
gstreamer1.0-plugins-good-videobox,1.20.7,58,88,74,91
gstreamer1.0-plugins-good-videocrop,1.20.7,16,72,49,15
gstreamer1.0-plugins-good-videofilter,1.20.7,16,97,3,15
gstreamer1.0-plugins-good-videomixer,1.20.7,81,19,95,11
gstreamer1.0-plugins-good-wavenc,1.20.7,49,40,89,50
gstreamer1.0-plugins-good-wavparse,1.20.7,16,0,66,55
gstreamer1.0-plugins-good-y4menc,1.20.7,82,78,88,19
gstreamer1.0-ptest,1.20.7,60,13,95,21
gtk-doc,1.33.2,55,19,8,99
gtk-doc-dev,1.33.2,28,24,60,8
homescreen,1.0+git102+18b0219570,62,76,77,63
homescreen-dev,1.0+git102+18b0219570,19,59,68,89
hts-engine,1.10,22,75,82,34
hts-engine-dev,1.10,40,17,91,57
hvac,2.0+git0+d37674bb6d,31,24,53,82
hvac-dev,2.0+git0+d37674bb6d,23,7,35,8
icu,70.1,94,72,16,34
icu-dev,70.1,21,58,34,0
init-system-helpers-service,1.62,28,62,23,25
initscripts,1.0,29,8,48,11
initscripts-dev,1.0,59,27,62,95
initscripts-functions,1.0,17,5,5,39
initscripts-sushell,1.0,51,37,66,37
iproute2,5.17.0,73,39,23,33
iproute2-dev,5.17.0,70,52,28,58
iproute2-ip,5.17.0,2,38,79,51
iproute2-ss,5.17.0,75,52,68,95
iptables,1.8.7,82,48,72,22
iptables-dev,1.8.7,42,77,64,46
iptables-module-ip6t-ah,1.8.7,56,5,46,17
iptables-module-ip6t-dnat,1.8.7,0,14,85,84
iptables-module-ip6t-dnpt,1.8.7,58,76,65,66
iptables-module-ip6t-dst,1.8.7,19,65,86,21
iptables-module-ip6t-eui64,1.8.7,65,41,95,49
iptables-module-ip6t-frag,1.8.7,98,38,92,56
iptables-module-ip6t-hbh,1.8.7,31,36,75,27
iptables-module-ip6t-hl,1.8.7,86,7,90,27
iptables-module-ip6t-icmp6,1.8.7,15,74,52,54
iptables-module-ip6t-ipv6header,1.8.7,81,44,73,19
iptables-module-ip6t-log,1.8.7,99,44,85,11
iptables-module-ip6t-masquerade,1.8.7,32,31,62,34
iptables-module-ip6t-mh,1.8.7,68,5,87,100
iptables-module-ip6t-netmap,1.8.7,66,20,70,88
iptables-module-ip6t-redirect,1.8.7,91,3,90,65
iptables-module-ip6t-reject,1.8.7,22,68,14,92
iptables-module-ip6t-rt,1.8.7,35,93,61,76
iptables-module-ip6t-snat,1.8.7,51,79,77,13
iptables-module-ip6t-snpt,1.8.7,17,23,83,52
iptables-module-ip6t-srh,1.8.7,10,26,4,62
iptables-module-ipt-ah,1.8.7,25,53,39,1
iptables-module-ipt-clusterip,1.8.7,96,12,10,58
iptables-module-ipt-dnat,1.8.7,96,75,85,62
iptables-module-ipt-ecn,1.8.7,14,15,19,86
iptables-module-ipt-icmp,1.8.7,34,16,35,66
iptables-module-ipt-log,1.8.7,83,48,1,100
iptables-module-ipt-masquerade,1.8.7,67,8,1,60
iptables-module-ipt-netmap,1.8.7,76,4,88,2
iptables-module-ipt-realm,1.8.7,74,3,20,98
iptables-module-ipt-redirect,1.8.7,10,49,21,26
iptables-module-ipt-reject,1.8.7,55,70,93,13
iptables-module-ipt-snat,1.8.7,96,77,1,63
iptables-module-ipt-ttl,1.8.7,74,37,15,87
iptables-module-ipt-ulog,1.8.7,44,8,56,69
iptables-module-xt-addrtype,1.8.7,65,44,42,20
iptables-module-xt-audit,1.8.7,8,75,11,46
iptables-module-xt-bpf,1.8.7,30,65,90,38
iptables-module-xt-cgroup,1.8.7,74,15,95,55
iptables-module-xt-checksum,1.8.7,80,34,72,84
iptables-module-xt-classify,1.8.7,58,1,21,20
